route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
433A,4,433A,"SCHOOL SPECIAL",,3,,1E4288,FFFFFF
440,4,440,"BETHEL - Heritage Hills",,3,,F04923,FFFFFF
441,4,441,"BETHEL - ORDZE - Regency",,3,,F8CE3D,FFFFFF
441A,4,441A,"BETHEL - Regency",,3,,A52960,FFFFFF
442,4,442,"BETHEL - Nottingham",,3,,E11F8F,FFFFFF
443,4,443,"BETHEL - ORDZE - Glen Allan",,3,,FF80FF,FFFFFF
450,4,450,"BETHEL - Centre in the Park",,3,,08C0DE,FFFFFF
451,4,451,"BETHEL - ORDZE - Woodbridge",,3,,4A2366,FFFFFF
500X,1,500X,"Meadows - MacEwan",,3,,F37727,000000
501,1,501,"Davies - Capilano",,3,,005087,FFFFFF
502,1,502,"Davies - South Campus",,3,,005087,FFFFFF
503,1,503,"Davies - Millbourne - Woodvale",,3,,005087,FFFFFF
504,1,504,"Meadows - Davies",,3,,005087,FFFFFF
505,1,505,"Davies - Pylypow Industrial",,3,,005087,FFFFFF
506,1,506,"Davies - Meadows - Maple",,3,,005087,FFFFFF
507,1,507,"Tamarack - Southgate",,3,,005087,FFFFFF
508,1,508,"Meadows - Millbourne",,3,,005087,FFFFFF
509,1,509,"Mill Woods - Millbourne",,3,,005087,FFFFFF
511,1,511,"Mill Woods - Downtown",,3,,005087,FFFFFF
512,1,512,"Mill Woods - South Edmonton Common",,3,,005087,FFFFFF
513,1,513,"Mill Woods - Knottwood",,3,,005087,FFFFFF
514,1,514,"Mill Woods - Millhurst",,3,,005087,FFFFFF
515,1,515,"Mill Woods - Meadows",,3,,005087,FFFFFF
516,1,516,"Mill Woods - Laurel - Meadows",,3,,005087,FFFFFF
517,1,517,"Mill Woods - Southwood",,3,,005087,FFFFFF
518,1,518,"Mill Woods - Century Park",,3,,005087,FFFFFF
519,1,519,"Mill Woods - Century Park",,3,,005087,FFFFFF
521,1,521,"Mill Woods - Century Park",,3,,005087,FFFFFF
522,1,522,"Capilano - Bonnie Doon",,3,,005087,FFFFFF
523,1,523,"Mill Woods - Downtown",,3,,005087,FFFFFF
524,1,524,"Bonnie Doon - Holyrood",,3,,005087,FFFFFF
525,1,525,"Bonnie Doon - Ritchie",,3,,005087,FFFFFF
526,1,526,"Mill Woods - Millbourne Woodvale",,3,,005087,FFFFFF
540,7,540,"Beaumont to Edmonton",,3,,2FA7D5,000000
560,5,560,"Spruce Grove - Downtown Edmonton",,3,,139FE6,FFFFFF
589,1,589,"Edmonton Waste Management Centre - Coliseum",,3,,FFFF00,000000
610,1,610,"Archbishop O'Leary - Dickinsfield - Lago Lindo",,3,,005087,FFFFFF
612,1,612,"Queen E. - O'Leary - Hollick-Kenyon",,3,,005087,FFFFFF
